"Groupe";"pid";"Etablissement";"Groupe.détaillé";"Comparable";"Rentrée";"kpi.ENS.P.effectif";"kpi.ENS.S.titulaires";"kpi.ENS.S.EC";"kpi.ENS.S.DocATER";"kpi.ENS.S.contractuels";"kpi.ETU.P.effectif";"kpi.ETU.S.cycle1_L";"kpi.ETU.S.cycle2_M";"kpi.ETU.S.cycle3_D";"kpi.ETU.S.DU_DE";"kpi.BIA.P.effectif";"kpi.BIA.S.A";"kpi.BIA.S.B";"kpi.BIA.S.C";"kpi.BIA.S.titulaires";"kpi.FIN.P.ressources";"kpi.FIN.S.masseSalariale";"kpi.FIN.S.SCSP";"kpi.FIN.S.recettesFormation";"kpi.FIN.S.recettesRecherche";"kpi.FIN.S.investissements";"kpi.IMO.P.batiments";"kpi.IMO.S.état_satisfaisant";"kpi.IMO.S.énergie_ABC";"kpi.IMO.S.GES_ABC";"kpi.IMO.S.propriété_propre";"kpi.K.dotPres";"kpi.K.resPetu";"kpi.K.forPetu";"kpi.K.recPect";"kpi.K.ensPetu";"kpi.K.titPper";"kpi.K.biaPper";"kpi.K.dotPetu"
"Autres établissements";"QXnpG";"École pratique des hautes études";"Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs)";TRUE;2014;288;193;206;72;23;1218;0;636;582;269;NA;NA;NA;NA;NA;36158465;30854902;31838659;491449,42;2012574,93;365147;NA;NA;NA;NA;NA;0,880531267021429;56852,9323899371;403,488850574713;9769,78121359223;33,9622641509434;NA;NA;50060,784591195
"Autres établissements";"QXnpG";"École pratique des hautes études";"Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs)";TRUE;2015;283;192;186;69;0;1157;0;580;577;245;202;94;56;52;93;36640649;31486781;32201484;NA;NA;396218;NA;NA;NA;NA;NA;0,87884589598836;63173,5327586207;NA;NA;33,1034482758621;0,587628865979381;0,416494845360825;55519,8
"Autres établissements";"QXnpG";"École pratique des hautes études";"Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs)";TRUE;2016;304;205;193;76;0;1148;0;557;591;262;215;114;55;46;93;37822206;32119683;33100731;NA;NA;207882;20;17;0;0;0;0,875166588643719;67903,4219030521;NA;NA;36,8043087971275;0,574181117533719;0,414258188824663;59426,8061041293
"Autres établissements";"QXnpG";"École pratique des hautes études";"Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs)";TRUE;2017;275;197;185;58;0;1091;0;541;550;215;187;101;53;33;86;37879752;32023254;33124149;603507;1748266;557820;20;17;0;0;0;0,874455276264744;70018,0258780037;553,168652612282;9450,08648648649;36,4140480591497;0,612554112554113;0,404761904761905;61227,6321626617
"Autres établissements";"QXnpG";"École pratique des hautes études";"Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs)";TRUE;2018;271;191;196;63;17;916;0;426;490;80;177;107;41;29;88;39336084;32310401;32987400;562080;3265413;443038;20;17;0;0;0;0,838604066434269;92338,2253521127;613,624454148472;16660,2704081633;48,8262910798122;0,622767857142857;0,395089285714286;77435,2112676056
"Autres établissements";"QXnpG";"École pratique des hautes études";"Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs)";TRUE;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40269590;33156238;33823631;NA;2103819;1279134;18;16;0;0;0;0,839929857741288;NA;NA;NA;NA;NA;NA;NA
"Autres établissements";"QXnpG";"École pratique des hautes études";"Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs)";TRUE;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;41560956;33961912;34415655;551325;2399636;653877;18;16;0;0;0;0,828076596698113;NA;NA;NA;NA;NA;NA;NA
"Autres établissements";"QXnpG";"École pratique des hautes études";"Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs)";TRUE;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43632026;35952615;34852809;NA;2271654;730387;18;16;0;0;0;0,798789609265451;NA;NA;NA;NA;NA;NA;NA
"Autres établissements";"QXnpG";"École pratique des hautes études";"Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs)";TRUE;2022;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45069189;36907263;35169884;NA;1495285;1171476;18;16;0;0;0;0,780353158784375;NA;NA;NA;NA;NA;NA;NA
NA;"pfa6S";NA;NA;NA;2013;NA;NA;NA;NA;NA;1433;0;1433;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"pfa6S";NA;NA;NA;2014;NA;NA;NA;NA;NA;2862;0;2862;0;179;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"XIGGw";NA;NA;NA;2015;NA;NA;NA;NA;NA;3121;0;3121;0;270;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"FKt2q";NA;NA;NA;2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;21;14;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"8DrrS";NA;NA;NA;2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;51738710;15777899;44048534;NA;NA;7589675;NA;NA;NA;NA;NA;0,851365138404108;NA;NA;NA;NA;NA;NA;NA
NA;"t6C0i";NA;NA;NA;2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1027512;280661;152253;NA;NA;32200;NA;NA;NA;NA;NA;0,148176371662813;NA;NA;NA;NA;NA;NA;NA
NA;"uCPtX";NA;NA;NA;2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3533634;1126208;3227639;NA;NA;0;NA;NA;NA;NA;NA;0,913405010252901;NA;NA;NA;NA;NA;NA;NA
NA;"XIGGw";NA;NA;NA;2016;NA;NA;NA;NA;NA;3327;0;3327;0;355;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"FKt2q";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48;19;15;14;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"8DrrS";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54590115;44504748;44504748;NA;NA;7336027;NA;NA;NA;NA;NA;0,815252871330277;NA;NA;NA;NA;NA;NA;NA
NA;"t6C0i";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2107636;266963,000000001;268404;NA;NA;12405;NA;NA;NA;NA;NA;0,127348365657068;NA;NA;NA;NA;NA;NA;NA
NA;"uCPtX";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4109470;926851,999999999;1175574;NA;NA;870757;NA;NA;NA;NA;NA;0,286064626338676;NA;NA;NA;NA;NA;NA;NA
NA;"CUBKB,7Gzub";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"G4572,TeXD3,u79ZJ";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"HCBvW,QYw7j";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"I4SPK,p25Q3";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"QtZkX";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA
NA;"XR16q,jYUcF";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"cQN1f";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"jYUcF,IXHyv";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"m7K6T,mMex4";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"ti37C,9wAap";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"wAASR,8k883";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"y52D7,FKt2q";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"y52D7,QXnpG";NA;NA;NA;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"FKt2q";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;44;17;13;14;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"8DrrS";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54379060;15808668;44542040;NA;NA;7178309;NA;NA;NA;NA;NA;0,819102794347677;NA;NA;NA;NA;NA;NA;NA
NA;"t6C0i";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1304577;252859;268253;NA;NA;23094;NA;NA;NA;NA;NA;0,205624505107786;NA;NA;NA;NA;NA;NA;NA
NA;"uCPtX";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4269179;844097;1684613;0;1405579;137312;NA;NA;NA;NA;NA;0,394598820991109;NA;NA;NA;NA;NA;NA;NA
NA;"8k883,bxPQe,6G2TU,O2v0H,QXnpG";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"CUBKB,7Gzub";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"G4572,TeXD3,u79ZJ";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"HCBvW,QYw7j";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"I4SPK,p25Q3";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"QtZkX";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA
NA;"XR16q,jYUcF";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"bxPQe,6G2TU";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"bxPQe,6G2TU,O2v0H";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"cQN1f";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"jYUcF,IXHyv";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"m7K6T,mMex4";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"ti37C,9wAap";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"wAASR,8k883";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"y52D7,FKt2q";NA;NA;NA;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"FKt2q";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39;17;10;12;NA;NA;NA;NA;NA;NA;NA;2;2;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA
NA;"8DrrS";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"t6C0i";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2520991;122057;273807;NA;NA;1006073;NA;NA;NA;NA;NA;0,108610859776969;NA;NA;NA;NA;NA;NA;NA
NA;"uCPtX";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2499081;460239;1637632;NA;NA;30296;NA;NA;NA;NA;NA;0,655293685958959;NA;NA;NA;NA;NA;NA;NA
NA;"8k883,bxPQe,6G2TU,O2v0H,QXnpG";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"CUBKB,7Gzub";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;1;3;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"G4572,TeXD3,u79ZJ";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"HCBvW,QYw7j";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"HqAYu,mMex4";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"I4SPK,p25Q3";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"QtZkX";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA
NA;"XR16q,jYUcF";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"bxPQe,6G2TU";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"bxPQe,6G2TU,O2v0H";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"cQN1f";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"jYUcF,IXHyv";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"m7K6T,mMex4";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"ti37C,9wAap";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"wAASR,8k883";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"y52D7,FKt2q";NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"FKt2q";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;15;9;11;NA;NA;NA;NA;NA;NA;NA;2;2;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA
NA;"8DrrS";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49529628;16202074;45930639;NA;NA;6013054;NA;NA;NA;NA;NA;0,927336643836695;NA;NA;NA;NA;NA;NA;NA
NA;"t6C0i";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"2ALYK,Y7ch7";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"8618D,5cZyU";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;2;1;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"8k883,bxPQe,6G2TU,5cZyU,QXnpG";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"CUBKB,7Gzub";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;3;3;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"G4572,TeXD3,u79ZJ";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"HCBvW,QYw7j";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"HqAYu,mMex4";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"I4SPK,p25Q3";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"QtZkX";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA
NA;"XR16q,jYUcF";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"bxPQe,6G2TU";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"bxPQe,6G2TU,5cZyU";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"cQN1f";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"jYUcF,IXHyv";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"m7K6T,mMex4";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"ti37C,9wAap";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"vb71K,3Z5e6";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"wAASR,8k883";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"y52D7,FKt2q";NA;NA;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"FKt2q";NA;NA;NA;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;15;9;11;NA;NA;NA;NA;NA;NA;NA;2;2;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA
NA;"8DrrS";NA;NA;NA;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50878160;16901180;44538839;NA;NA;6817603;NA;NA;NA;NA;NA;0,875401920981419;NA;NA;NA;NA;NA;NA;NA
NA;"2ALYK,Y7ch7";NA;NA;NA;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"8618D,5cZyU";NA;NA;NA;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"8k883,bxPQe,6G2TU,5cZyU,QXnpG";NA;NA;NA;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"CUBKB,7Gzub";NA;NA;NA;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;1;3;0;NA;NA;NA;NA;NA;NA;NA;NA
NA;"G4572,TeXD3,u79ZJ";NA;NA;NA;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
