"Groupe";"pid";"Etablissement";"Groupe.détaillé";"Comparable";"Rentrée";"kpi.ENS.P.effectif";"kpi.ENS.S.titulaires";"kpi.ENS.S.EC";"kpi.ENS.S.DocATER";"kpi.ENS.S.contractuels";"kpi.ETU.P.effectif";"kpi.ETU.S.cycle1_L";"kpi.ETU.S.cycle2_M";"kpi.ETU.S.cycle3_D";"kpi.ETU.S.DU_DE";"kpi.BIA.P.effectif";"kpi.BIA.S.A";"kpi.BIA.S.B";"kpi.BIA.S.C";"kpi.BIA.S.titulaires";"kpi.FIN.P.ressources";"kpi.FIN.S.masseSalariale";"kpi.FIN.S.SCSP";"kpi.FIN.S.recettesFormation";"kpi.FIN.S.recettesRecherche";"kpi.FIN.S.investissements";"kpi.IMO.P.batiments";"kpi.IMO.S.état_satisfaisant";"kpi.IMO.S.énergie_ABC";"kpi.IMO.S.GES_ABC";"kpi.IMO.S.propriété_propre";"kpi.K.dotPres";"kpi.K.resPetu";"kpi.K.forPetu";"kpi.K.recPect";"kpi.K.ensPetu";"kpi.K.titPper";"kpi.K.biaPper";"kpi.K.dotPetu"
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2007;NA;NA;NA;NA;NA;18363;8917;9155;291;153;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2008;NA;NA;NA;NA;NA;16955;8646;8029;280;214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2009;NA;NA;NA;NA;NA;17163;9336;7526;301;289;NA;NA;NA;NA;NA;124044513,09;100783716,25;111673228,91;5384404;2065299,11;5810345,76;NA;NA;NA;NA;NA;0,900267380863319;7356,45315443008;313,721610441065;NA;NA;NA;NA;6622,77481378247
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2010;NA;687;NA;NA;NA;13890;8900;4675;315;258;NA;NA;NA;NA;NA;131640887,37;105024767,15;113741475;5267210,9;3446285,79;8853306,4;NA;NA;NA;NA;NA;0,864028473769775;9697,30293701658;379,208848092153;NA;NA;NA;NA;8378,74585635359
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2011;NA;695;NA;NA;NA;13717;9092;4264;361;251;NA;NA;NA;NA;NA;132913366,58;108546577,99;115316754,87;5919297,66;3430187,72;4185678,22;NA;NA;NA;NA;NA;0,867608411683646;9951,58479934112;431,530047386455;NA;NA;NA;NA;8634,07868149146
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2012;914;687;500;146;78;14023;9154;4482;387;293;NA;NA;NA;NA;NA;136486803,8;109856899,502152;117407655,98;4943649,89;5299717,43;7642861,28;NA;NA;NA;NA;NA;0,860212509277032;10009,2991933118;352,538678599444;10599,43486;5,61014960398944;NA;NA;8610,12437518334
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2013;880;670;488;145;62;15589;9117;6089;383;318;NA;NA;NA;NA;NA;138016076,2;110420478,88154;117319436,02;4983570,23;4899247,15;13864253,5;NA;NA;NA;NA;NA;0,850041815780878;9076,42221491516;319,685049073064;10039,4408811475;4,81388925424175;NA;NA;7715,33842036038
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2014;884;674;482;140;67;16859;9327;7163;369;558;NA;NA;NA;NA;NA;138799583;110866292;117897253;NA;NA;9640319;NA;NA;NA;NA;NA;0,849406391948598;8417,19727107338;NA;NA;4,49363250454821;NA;NA;7149,62116434203
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2015;862;659;433;136;11;18121;9843;7929;349;366;714;247;236;231;392;138583439;111483856;116798507;NA;NA;7762864;NA;NA;NA;NA;NA;0,842802775301311;7797,85274589242;NA;NA;3,76997524195363;0,666878172588833;0,453045685279188;6572,05193562908
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2016;851;666;443;115;23;18946;10447;8113;386;526;717;250;229;238;396;142970336;114564063;121175302;NA;NA;6720844;38;25;20;17;1;0,847555551663528;7703,14310344828;NA;NA;3,71228448275862;0,677295918367347;0,457270408163265;6528,84170258621
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2017;887;663;453;134;39;19763;11007;8348;408;698;690;228;226;236;370;153726347;116518006;123399181;7610016;2990032;8331436;37;25;20;17;1;0,802719790121598;7942,46174115216;385,063806102312;6600,51214128035;3,62696977525187;0,655041217501585;0,437539632213063;6375,57122190648
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2018;830;656;469;100;71;20496;11339;8771;386;1486;734;276;230;228;381;152161522;120678445;124311382;7184293;5581325;43568968;36;25;20;16;1;0,816969890719153;7566,46056688215;350,521711553474;11900,4797441365;3,61511685728493;0,66304347826087;0,469309462915601;6181,57046245649
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2019;908;686;508;130;90;24808;13551;10718;539;1880;1001;282;237;482;453;167601090;135957661;129360114;19668512;9073800;16323533;41;25;20;16;1;0,771833369341452;6905,97428818658;792,829409867785;17861,811023622;3,19749474638428;0,596647459402829;0,524358302776323;5330,26140343648
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2020;1099;676;630;95;325;25823;14249;11093;481;1884;963;341;283;339;474;178194684;140202899;133344031;23977494;10373960;21205931;41;30;20;16;1;0,748305325427104;7031,59513850525;928,532471052937;16466,6031746032;3,94996448583379;0,557710960232784;0,467022308438409;5261,78008839081
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2021;1118;666;583;115;334;26069;13693;11776;600;1912;1055;357;325;373;446;192251235;148067783;136957076;30714624;12439753;319325442;42;30;9;3;1;0,71238593603833;7548,44065334328;1178,20491771836;21337,4837049743;3,92634182731949;0,511734928670041;0,48550391164289;5377,40296046174
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2022;NA;NA;NA;NA;NA;23569;11818;11179;572;2039;NA;NA;NA;NA;NA;209161771;163100200;137012888;37167591;19769000;30717261;42;30;9;2;1;0,65505702760568;9095,17637083098;1576,9693665408;NA;NA;NA;NA;5957,85919902596
