uai - identifiant;exercice;Acquisitions d'immobilisations;Besoin en fonds de roulement;CAF / Acquisitions d'immobilisations;CAF / Produits encaissables;Capacité d'autofinancement CAF;Charges décaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Produits encaissables;Ressources propres / Produits encaissables;Ressources propres encaissables;Résultat net comptable;Solde budgétaire;Trésorerie;Trésorerie en jours de charges décaissables;source;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region
0060931E;2014;11741679.34;-22416205.89;66.62310734;3.543971881;7822671.63;210753769.0;95.47958377;25870317.3;11.72025126;179025986.9;81.10567507;13174360.77;19.80050332;11591751.95;220731763.5;16.05753128;34912489.53;3652274.57;;34007957.84;58.09084639;COFISUP Comptes financiers;2010;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0060931E;Université Nice - Sophia-Antipolis;06088;Nice;A23;Nice;R93;Provence-Alpes-Côte d'Azur
0133774G;2014;;;;;;;;;;;;;;;;;;;;945629.63;;COFISUP Comptes financiers;2014;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0133774G;École centrale de Marseille;13213;Marseille 13e;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur
0290119X;2014;818435.16;-157262.24;67.74183919;16.43731565;554423.03;2819488.84;83.59109476;1425805.9;42.27173181;1150766.75;34.11747941;677909.11;388.9154677;3045952.28;3372953.6;35.35968001;446054.45;239212.94;;3203214.52;408.995138;COFISUP Comptes financiers;;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0290119X;École nationale d'ingénieurs de Brest;29019;Brest;A14;Rennes;R53;Bretagne
0311381H;2014;10639725.77;1590848.09;34.52084611;4.059872313;3672923.36;86776486.1;95.91854194;17183488.23;18.99379902;62441066.02;69.01934244;6931585.78;118.5618354;28578831.83;90468937.86;37.2815515;32513354.45;11939.28;;26987983.74;111.96206;COFISUP Comptes financiers;2010;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0311381H;Institut national polytechnique de Toulouse;31555;Toulouse;A16;Toulouse;R76;Occitanie
0311384L;2014;17859759.78;5943849.4;31.86793372;1.682974108;5691536.41;332490984.3;98.31681246;44601210.31;13.18847439;278631042.3;82.39055259;10930737.83;33.74869939;31169828.55;338183242.5;16.96719426;55076215.58;;;25225979.15;27.31307892;COFISUP Comptes financiers;2010;A;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0311384L;Université de Toulouse 3 - Paul Sabatier;31555;Toulouse;A16;Toulouse;R76;Occitanie
0333298F;2014;23893337.0;-60972555.0;42.3339778784353;2.29587800876827;10115000.0;430434920.0;97.6990674279715;;;330020205.0;74.9071805347205;;31.0;37546000.0;440572189.0;26.9439937344751;;2946713.0;;98518555.0;82.0;COFISUP Comptes financiers;2014;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0333298F;Université de Bordeaux;33522;Talence;A04;Bordeaux;R75;Nouvelle-Aquitaine
0341088Y;2014;24903344.0;-9171953.0;47.2474861207394;5.81885083100908;11766204.0;190442176.0;94.1811491689909;;;156759823.0;77.5239003447829;;33.0;17218464.0;202208380.0;19.6052547377117;;5442875.0;;26390417.0;50.0;COFISUP Comptes financiers;2010;E;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0342321N;Université MONTPELLIER 2 - SCIENCES TECHNIQUES DU LANGUEDOC;;;;;;
0350937D;2014;4275688.72;393905.69;35.53216779;1.516650462;1519244.89;98756751.8;98.588104;11759908.8;11.7398263;84603813.19;84.45933449;3349841.24;31.46318076;8631115.37;100171063.0;14.21508428;12422523.34;104345.43;;8237209.68;30.02726832;COFISUP Comptes financiers;2010;B;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0350937D;Université Rennes 2;35238;Rennes;A14;Rennes;R53;Bretagne
0381838S;2014;21146790.0;-19793347.0;25.8971550764915;1.93213847900156;5476417.0;272525041.0;96.1497486783015;;;212927761.0;75.1231909980098;;34.0;25769734.0;283438121.0;25.064242858144;;;;45563081.0;60.0;COFISUP Comptes financiers;2010;A;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0383493R;Université GRENOBLE 1 - JOSEPH FOURIER;;;;;;
0421095M;2014;3697626.57;-5286863.5;139.4896749;4.162703055;5157807.28;118937369.2;95.99058729;15415271.2;12.44117762;98090210.5;79.16550518;7155789.67;43.27838395;14298380.91;123905241.7;20.60567359;22417684.43;2200553.99;;19585244.41;59.28067888;COFISUP Comptes financiers;2009;A;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0421095M;Université Jean Monnet;42218;Saint-Étienne;A10;Lyon;R84;Auvergne-Rhône-Alpes
0440984F;2014;10973478.89;-14211115.91;84.82432666;3.382570958;9308179.58;278651149.8;101.2611842;33092781.01;12.02584018;236982537.7;86.11890678;16387779.87;18.98961524;14698550.34;275180615.5;13.99031614;36317622.21;6004762.79;;28909666.25;37.34949544;COFISUP Comptes financiers;2010;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0440984F;Université de Nantes;44109;Nantes;A17;Nantes;R52;Pays de la Loire
