UAI,Etablissement,Type,Groupe,PerimEx,Association,Comparable
0941934S,École d'ingénieur généraliste en informatique et technologies du numérique,École,Ecoles d'ingénieurs,,,TRUE
0310154Z,École d'ingénieurs de Purpan,École,Ecoles d'ingénieurs,,,TRUE
0022134J,École d'ingénieurs des sciences aérospatiales,École,Ecoles d'ingénieurs,,,TRUE
0171435T,École d'ingénieurs en génie des systèmes industriels,École,Ecoles d'ingénieurs,,,TRUE
0951820M,École de biologie industrielle,École,Ecoles d'ingénieurs,,,TRUE
0130230E,Ecole de l'air et de l'espace,Grand établissement,Ecoles d'ingénieurs,,,TRUE
0290119X,École nationale d'ingénieurs de Brest,École,Ecoles d'ingénieurs,,,TRUE
0650048Z,École nationale d'ingénieurs de Tarbes,École,Ecoles d'ingénieurs,,,TRUE
0311256X,École nationale de l'aviation civile,Grand établissement,Ecoles d'ingénieurs,,,TRUE
0312069F,École nationale de la météorologie,École,Ecoles d'ingénieurs,,,TRUE
0772517T,École nationale des ponts et chaussées,Grand établissement,Ecoles d'ingénieurs,,,TRUE
0772496V,École nationale des sciences géographiques,École,Ecoles d'ingénieurs,,,TRUE
0692566P,École nationale des travaux publics de l'État,École,Ecoles d'ingénieurs,,,TRUE
0670189S,École nationale du génie de l'eau et de l'environnement de Strasbourg,École,Ecoles d'ingénieurs,,,TRUE
0912266U,École nationale supérieure d'informatique pour l'industrie et l'entreprise,École,Ecoles d'ingénieurs,,,TRUE
0141720U,École nationale supérieure d'ingénieurs de Caen,École,Ecoles d'ingénieurs,,,TRUE
0340112M,École nationale supérieure de chimie de Montpellier,École,Ecoles d'ingénieurs,,,TRUE
0350077U,École nationale supérieure de chimie de Rennes,École,Ecoles d'ingénieurs,,,TRUE
0951376E,École nationale supérieure de l'électronique et de ses applications de Cergy,École,Ecoles d'ingénieurs,,,TRUE
0860073M,École nationale supérieure de mécanique et d'aérotechnique de Poitiers,École,Ecoles d'ingénieurs,,,TRUE
0250082D,École nationale supérieure de mécanique et des microtechniques,École,Ecoles d'ingénieurs,,,TRUE
0290125D,École nationale supérieure de techniques avancées Bretagne,École,Ecoles d'ingénieurs,,,TRUE
0330203S,École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine,École,Ecoles d'ingénieurs,,,TRUE
0920815L,École nationale supérieure du pétrole et des moteurs,École,Ecoles d'ingénieurs,,,TRUE
0760166T,École nationale supérieure maritime,Grand établissement,Ecoles d'ingénieurs,,,TRUE
0441916U,"École nationale vétérinaire, agroalimentaire et de l'alimentation, Nantes-Atlantique",Grand établissement,Ecoles d'ingénieurs,,,TRUE
0290124C,École navale,Grand établissement,Ecoles d'ingénieurs,,,TRUE
0942095S,École pour l'informatique et les techniques avancées,École,Ecoles d'ingénieurs,,,TRUE
0941953M,École spéciale de mécanique et d'électricité,École,Ecoles d'ingénieurs,,,TRUE
0942340H,"École spéciale des travaux publics, du bâtiment et de l'industrie",École,Ecoles d'ingénieurs,,,TRUE
0560068V,École spéciale militaire de Saint-Cyr,École,Ecoles d'ingénieurs,,,TRUE
0492246A,École supérieure angevine en informatique et productique,École,Ecoles d'ingénieurs,,,TRUE
0490075R,École supérieure d'électronique de l'Ouest,École,Ecoles d'ingénieurs,,,TRUE
